model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_AllModels_4_AutoML_1_20260722_155857,165.4840588273851,27384.973725985456,127.17191099271125,0.2061931991129016,27384.973725985456
StackedEnsemble_AllModels_3_AutoML_1_20260722_155857,165.4926774445793,27387.82628777557,127.17197147806016,0.2061959192899668,27387.82628777557
StackedEnsemble_BestOfFamily_4_AutoML_1_20260722_155857,165.5053702528687,27392.027582539147,127.18131038655044,0.2062168131984326,27392.027582539147
StackedEnsemble_BestOfFamily_3_AutoML_1_20260722_155857,165.55568855179848,27408.6860118601,127.2287573503797,0.2062931912388156,27408.6860118601
GBM_grid_1_AutoML_1_20260722_155857_model_1,165.56232284990756,27410.882747457024,127.24849778406588,0.2063367604774656,27410.882747457024
StackedEnsemble_AllModels_2_AutoML_1_20260722_155857,165.56401515800064,27411.443115238668,127.24046861051347,0.2062976749804403,27411.443115238668
GBM_grid_1_AutoML_1_20260722_155857_model_12,165.56502971456092,27411.77906438344,127.2478339535313,0.2063429999750898,27411.77906438344
StackedEnsemble_AllModels_1_AutoML_1_20260722_155857,165.60039809963558,27423.491850757797,127.27332085887684,0.2063406404684468,27423.491850757797
GBM_2_AutoML_1_20260722_155857,165.6167262074179,27428.899999662823,127.30867381023732,0.2064215907537616,27428.899999662823
StackedEnsemble_BestOfFamily_2_AutoML_1_20260722_155857,165.61750330733815,27429.15740175617,127.29587309850852,0.2063741551675088,27429.15740175617
GBM_5_AutoML_1_20260722_155857,165.6476930765142,27439.15822157105,127.31923362090974,0.2064204880090905,27439.15822157105
GBM_grid_1_AutoML_1_20260722_155857_model_14,165.66458889860598,27444.756014944127,127.35130265960342,0.2064836148077141,27444.756014944127
GBM_grid_1_AutoML_1_20260722_155857_model_15,165.69857980088648,27456.019348030743,127.3674280356481,0.2065180509693061,27456.019348030743
GBM_grid_1_AutoML_1_20260722_155857_model_22,165.78158732653884,27483.53469650682,127.4911031347894,0.2066560443068712,27483.53469650682
XGBoost_grid_1_AutoML_1_20260722_155857_model_20,165.78870603279768,27485.895048029404,127.39254747377848,0.2065805066406009,27485.895048029404
XGBoost_3_AutoML_1_20260722_155857,165.79214366553697,27487.03490121405,127.3138951519503,0.2064815903393061,27487.03490121405
XGBoost_grid_1_AutoML_1_20260722_155857_model_25,165.8443527714281,27504.34934617389,127.37759681412412,0.2065047494156093,27504.34934617389
GBM_grid_1_AutoML_1_20260722_155857_model_19,165.86211076856745,27510.239788604536,127.57089602093444,0.2067931407861844,27510.239788604536
GBM_3_AutoML_1_20260722_155857,165.89590427158006,27521.451054085253,127.51968129389864,0.2066377124826237,27521.451054085253
XGBoost_grid_1_AutoML_1_20260722_155857_model_15,165.9745802550004,27547.56129082357,127.55575217230016,0.2067116156581119,27547.56129082357
GBM_grid_1_AutoML_1_20260722_155857_model_13,166.0344861026771,27567.450575380077,127.58972363015408,0.206838325280962,27567.450575380077
GBM_grid_1_AutoML_1_20260722_155857_model_26,166.07656176440756,27581.42436748708,127.665221908411,0.2069133465398547,27581.42436748708
XGBoost_grid_1_AutoML_1_20260722_155857_model_4,166.09017133678665,27585.945014683137,127.74703020439128,0.2069615047831599,27585.945014683137
GBM_grid_1_AutoML_1_20260722_155857_model_6,166.15230940638918,27606.589921076484,127.71629538410218,0.2068822033312723,27606.589921076484
XGBoost_grid_1_AutoML_1_20260722_155857_model_6,166.15244977818108,27606.63656729098,127.67330390714756,0.2067810342277556,27606.63656729098
XGBoost_grid_1_AutoML_1_20260722_155857_model_22,166.1825845272761,27616.651400165272,127.7287677136351,0.2067566659468963,27616.651400165272
StackedEnsemble_BestOfFamily_1_AutoML_1_20260722_155857,166.19448755418674,27620.60769339873,127.75273960006784,0.2068058850467182,27620.60769339873
GBM_grid_1_AutoML_1_20260722_155857_model_5,166.19573373435816,27621.021911501677,127.72309083924206,0.2070235703260624,27621.021911501677
GBM_1_AutoML_1_20260722_155857,166.2354462344939,27634.22358478132,127.8145599196174,0.2069135686490657,27634.22358478132
XGBoost_grid_1_AutoML_1_20260722_155857_model_13,166.27079179486825,27645.976204092425,127.6522766604744,0.2068948010786093,27645.976204092425
XGBoost_grid_1_AutoML_1_20260722_155857_model_28,166.33732858542024,27668.106880934058,128.00135408786016,0.2064149515004376,27668.106880934058
XGBoost_grid_1_AutoML_1_20260722_155857_model_8,166.33844180117595,27668.477220843208,127.72839348463248,0.2070340464409225,27668.477220843208
