,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
lightgbm,Light Gradient Boosting Machine,143.0661,34436.2899,185.5621,0.5513,0.2276,0.2372,0.456
gbr,Gradient Boosting Regressor,143.9073,34681.6025,186.2207,0.5481,0.2287,0.2386,0.528
knn,K Neighbors Regressor,156.5295,41130.3445,202.7989,0.4641,0.2423,0.2515,0.03
rf,Random Forest Regressor,158.9251,42492.6865,206.1291,0.4463,0.2458,0.2526,0.536
ada,AdaBoost Regressor,163.1022,42635.6843,206.454,0.4441,0.2428,0.2497,0.13
lar,Least Angle Regression,161.6548,42813.2984,206.9084,0.4421,0.2482,0.2606,0.01
br,Bayesian Ridge,161.6537,42813.3117,206.9084,0.4421,0.2482,0.2606,0.012
lr,Linear Regression,161.655,42813.307,206.9084,0.4421,0.2482,0.2606,0.532
ridge,Ridge Regression,161.6548,42813.2984,206.9084,0.4421,0.2482,0.2606,0.01
llar,Lasso Least Angle Regression,161.6486,42813.4117,206.9087,0.4421,0.2482,0.2606,0.01
lasso,Lasso Regression,161.6483,42813.4125,206.9087,0.4421,0.2482,0.2606,0.296
en,Elastic Net,161.6125,42817.4336,206.9183,0.4421,0.2483,0.2606,0.28
huber,Huber Regressor,160.7597,43443.857,208.4251,0.4339,0.2494,0.2593,0.06
omp,Orthogonal Matching Pursuit,168.1451,46376.9477,215.3475,0.3957,0.257,0.2677,0.288
et,Extra Trees Regressor,166.0099,46720.177,216.1389,0.3912,0.2577,0.2602,0.38
dt,Decision Tree Regressor,176.9409,53584.8377,231.4781,0.3017,0.2796,0.2718,0.036
par,Passive Aggressive Regressor,185.9827,55279.1443,234.2359,0.2785,0.2774,0.2898,0.014
dummy,Dummy Regressor,228.8836,76776.3047,277.0746,-0.0003,0.3235,0.3458,0.01
